name,period,description,status,teacher_id,level
高等数学,120,机器学习依赖课程,已审核,1,0
计算机导论,30,,已审核,3,0
Python程序设计,30,,已审核,3,1
Java程序设计,30,,已审核,3,1
C语言程序设计,30,,已审核,3,1
离散数学,80,计算机科学依赖课程,已审核,2,2
概率论与数理统计,80,数据科学依赖课程,已审核,1,2
C++程序设计,50,,已审核,3,2
C#程序设计,30,,已审核,3,2
数据结构与算法,30,,已审核,3,2
线性代数,80,机器学习及图形科学依赖课程,已审核,1,2
计算机组成原理,30,,已审核,3,2
编译原理,30,,已审核,3,3
软件工程,30,,已审核,3,3
操作系统,30,,已审核,3,3
计算机网络,30,,已审核,3,3
数据库系统原理,30,,已审核,3,3
算法分析与设计,30,,已审核,3,2
软件测试,30,,已审核,3,3
软件测试方法和技术实践,30,,已审核,3,4
面向对象软件开发实践,30,,已审核,3,4
计算机系统结构,30,,已审核,3,4
Linux内核分析,30,,已审核,3,4
软件安全,30,,已审核,3,4
信息安全数学基础,30,,已审核,3,4
抽象代数,30,,已审核,3,4
数理逻辑,80,计算机科学依赖课程,已审核,1,0
实变函数,50,机器学习依赖课程,审核中,2,10
泛函分析,50,机器学习依赖课程,审核中,2,10
常微分方程,50,机器学习依赖课程,审核中,2,10
偏微分方程,50,机器学习依赖课程,审核中,2,10
复变函数,50,机器学习依赖课程,审核中,2,10
拓扑学,50,机器学习依赖课程,审核中,2,10
数值分析,50,机器学习依赖课程,审核中,2,10
矩阵论,50,机器学习依赖课程,审核中,2,10
傅立叶分析,50,机器学习依赖课程,审核中,2,10
凸优化,50,机器学习依赖课程,审核中,2,10
高等概率论,50,机器学习依赖课程,审核中,2,10
多元统计,50,机器学习依赖课程,审核中,2,10
非参数统计,50,机器学习依赖课程,审核中,2,10
贝叶斯统计,50,机器学习依赖课程,审核中,2,10
随机过程,50,机器学习依赖课程,审核中,2,10
回归分析,50,机器学习依赖课程,审核中,2,10
信息论,50,机器学习依赖课程,审核中,2,10
图论,50,机器学习依赖课程,审核中,2,10
数字逻辑,50,,审核中,2,1